taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus
6250324	7ddf754f-d193-4cc9-b351-99906754a03b	1300498	1300978		Thyreodon atriventris gigas (Kriechbaumer, 1901)	(Kriechbaumer, 1901)	Thyreodon atriventris gigas	Thyreodon	atriventris	gigas	subspecies			synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Mesochorus
6250325	7ddf754f-d193-4cc9-b351-99906754a03b	1300498	1300978		Thyreodon atriventris armstrongi (Hooker, 1912)	(Hooker, 1912)	Thyreodon atriventris armstrongi	Thyreodon	atriventris	armstrongi	subspecies			synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Mesochorus
9739785	7ddf754f-d193-4cc9-b351-99906754a03b	4077290	7939169	7562582	Tachytes tarsalis (Dalla Torre, 1897)	(Dalla Torre, 1897)	Tachytes tarsalis	Tachytes	tarsalis		species			synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Tachytes
1401232	7ddf754f-d193-4cc9-b351-99906754a03b	1401231			Endecascelio stipitipennis Masner & Dessart, 1972	Masner & Dessart, 1972	Endecascelio stipitipennis	Endecascelio	stipitipennis		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Scelionidae	Endecascelio
6252306	7ddf754f-d193-4cc9-b351-99906754a03b	1282469	5027899		Alloplasta superba iridescens (Davis, 1897)	(Davis, 1897)	Alloplasta superba iridescens	Alloplasta	superba	iridescens	subspecies			synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Oedicephalus
6252308	7ddf754f-d193-4cc9-b351-99906754a03b	1282469	5027899		Alloplasta superba picta Townes, 1978	Townes, 1978	Alloplasta superba picta	Alloplasta	superba	picta	subspecies			synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Oedicephalus
6250890	7ddf754f-d193-4cc9-b351-99906754a03b	1290080	1290097		Dusona juvenilis rufifemur Ozols, 1959	Ozols, 1959	Dusona juvenilis rufifemur	Dusona	juvenilis	rufifemur	subspecies			synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Gelis
6252307	7ddf754f-d193-4cc9-b351-99906754a03b	1282469	5027899		Alloplasta superba finitima Townes, 1978	Townes, 1978	Alloplasta superba finitima	Alloplasta	superba	finitima	subspecies			synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Oedicephalus
8925174	7ddf754f-d193-4cc9-b351-99906754a03b	3258994	7437127		Psen seminitidus bettoh Tsuneki, 1977	Tsuneki, 1977	Psen seminitidus bettoh	Psen	seminitidus	bettoh	subspecies			synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Psen
8780968	7ddf754f-d193-4cc9-b351-99906754a03b	7437127		8880310	Psen bettoh attenuatus (Tsuneki, 1977)	(Tsuneki, 1977)	Psen bettoh attenuatus	Psen	bettoh	attenuatus	subspecies			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Psen
9164875	7ddf754f-d193-4cc9-b351-99906754a03b	1312205	7446425		Cerceris vigilans pervigilans R.Turner, 1913	R.Turner, 1913	Cerceris vigilans pervigilans	Cerceris	vigilans	pervigilans	subspecies			synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Cerceris
6253087	7ddf754f-d193-4cc9-b351-99906754a03b	1365255	1365587		Prospaltella citrella porteri Mercet, 1928	Mercet, 1928	Prospaltella citrella porteri	Prospaltella	citrella	porteri	subspecies			synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Aphelinidae	Encarsia
1329178	7ddf754f-d193-4cc9-b351-99906754a03b	1329147	1329172		Odynerus turca de Saussure, 1863	de Saussure, 1863	Odynerus turca	Odynerus	turca		species			heterotypic synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Eumenidae	Eustenancistrocerus
